MacBook-Pro-de-Josep:fso_pract3 Josep$ ps aux
USER              PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
Josep            2430   0,0  0,0  2502076   1820   ??  S    17sep15   0:00.47 /Applications/iTunes.app/Contents/MacOS/iTunesHelpe
_spotlight       2254   0,0  0,0  2470788    716   ??  S    17sep15   0:01.48 /usr/sbin/distnoted agent
_assetcache      2251   0,0  0,0  2469472    656   ??  S    17sep15   0:00.11 /System/Library/PrivateFrameworks/TCC.framework/Res
_assetcache      2250   0,0  0,0  2503088   2236   ??  Ss   17sep15   0:15.19 /System/Library/CoreServices/AssetCacheLocatorServi
root             2248   0,0  0,0  2598536   1280   ??  Ss   17sep15   0:23.87 /System/Library/PrivateFrameworks/PackageKit.framew
Josep            2134   0,0  0,0  2469412    664   ??  S    16sep15   0:00.11 /System/Library/PrivateFrameworks/StoreXPCServices.
Josep            2133   0,0  0,0  2470292    884   ??  Ss   16sep15   0:00.17 /System/Library/PrivateFrameworks/CommerceKit.frame
Josep            2130   0,0  0,1  3615932   5472   ??  S    16sep15   0:02.51 /System/Library/PrivateFrameworks/CommerceKit.frame
Josep            1889   0,0  0,0  2469876   1240   ??  S    16sep15   0:06.13 /usr/bin/ssh-agent -l
Josep            1710   0,0  0,1  2517348   4316   ??  S    16sep15   0:01.79 /System/Library/CoreServices/rcd.app/Contents/MacOS
Josep            1427   0,0  0,0  2532068   3268   ??  S    16sep15   0:01.04 /System/Library/PrivateFrameworks/MailService.frame
Josep            1344   0,0  0,0  2472064   1188   ??  S    15sep15   0:00.20 /System/Library/Frameworks/CoreServices.framework/F
_spotlight       1343   0,0  0,0  2481328   1024   ??  S    15sep15   0:18.38 /System/Library/Frameworks/CoreServices.framework/F
Josep            1270   0,0  0,1  2542196   6476   ??  S    15sep15   0:07.44 /System/Library/PrivateFrameworks/Noticeboard.frame
root             1269   0,0  0,0  2469216    536   ??  SNs  15sep15   0:00.03 /usr/libexec/periodic-wrapper daily
_www             1211   0,0  0,0  2478300    752   ??  S    15sep15   0:00.02 /usr/sbin/httpd -D FOREGROUND
Josep            1179   0,0  0,0  2497488   2568   ??  Ss   15sep15   0:05.96 /System/Library/PrivateFrameworks/CommerceKit.frame
root             1122   0,0  0,0  2469216    164   ??  SNs  15sep15   0:00.01 /usr/libexec/periodic-wrapper weekly
Josep            1089   0,0  0,1  2500856   4572   ??  S    15sep15   0:03.25 /System/Library/PrivateFrameworks/DataDetectorsCore
Josep            1088   0,0  0,2  2501260  14640   ??  S    15sep15   1:04.02 /System/Library/PrivateFrameworks/CoreRecents.frame
Josep            1080   0,0  0,0  2469424    792   ??  S    15sep15   0:00.15 /usr/libexec/USBAgent
Josep            1079   0,0  0,0  2469484    744   ??  S    15sep15   0:00.16 /System/Library/PrivateFrameworks/KerberosHelper/He
Josep             891   0,0  0,0  2493356    824   ??  S    15sep15   0:00.24 /System/Library/Frameworks/ApplicationServices.fram
Josep             862   0,0  0,0  2493968   1168   ??  S    15sep15   0:01.27 /System/Library/PrivateFrameworks/CommerceKit.frame
Josep             835   0,0  0,0  2494864   1656   ??  U    15sep15   0:00.23 /System/Library/PrivateFrameworks/BookKit.framework
root              834   0,0  0,0  2496156   3260   ??  Ss   15sep15   0:02.23 /usr/libexec/syspolicyd
root              797   0,0  0,0  2547496   1788   ??  Ss   15sep15   0:11.16 /usr/sbin/spindump
Josep             772   0,0  0,0  2501248   1196   ??  Ss   15sep15   0:00.33 /System/Library/PrivateFrameworks/PhotoLibraryPriva
Josep             459   0,0  0,0  2543080   3528   ??  S    15sep15   0:01.18 /System/Library/PrivateFrameworks/CloudServices.fra
Josep             451   0,0  0,1  2503440   4952   ??  S    15sep15   0:08.69 /System/Library/PrivateFrameworks/GeoServices.frame
Josep             450   0,0  0,0  2503304   2556   ??  Ss   15sep15   0:03.70 /System/Library/PrivateFrameworks/PhotoLibraryPriva
Josep             448   0,0  0,0  2512492   2232   ??  U    15sep15   0:02.56 /System/Library/CoreServices/ScopedBookmarkAgent
Josep             447   0,0  0,0  2506876   1516   ??  S    15sep15   0:11.77 /System/Library/PrivateFrameworks/PhotoLibraryPriva
root              446   0,0  0,4  2512920  32024   ??  Ss   15sep15   1:08.28 /usr/libexec/systemstatsd
Josep             444   0,0  0,0  2501416   2812   ??  S    15sep15   0:01.87 /System/Library/PrivateFrameworks/CloudPhotoService
Josep             443   0,0  0,1  2570756   5560   ??  S    15sep15   0:03.33 /System/Library/CoreServices/cloudphotosd.app/Conte
Josep             415   0,0  0,0  2472036    280   ??  S    15sep15   0:00.22 /usr/libexec/SafariNotificationAgent
root              407   0,0  0,7  2532144  59716   ??  Ss   15sep15   1:09.33 /System/Library/CoreServices/SubmitDiagInfo server-
Josep             406   0,0  0,0  2468988    752   ??  Ss   15sep15   0:00.11 /System/Library/PrivateFrameworks/IMFoundation.fram
Josep             397   0,0  0,1  3730672   5248   ??  S    15sep15  56:01.65 /System/Library/PrivateFrameworks/CommerceKit.frame
Josep             396   0,0  0,0  2541044   3276   ??  S    15sep15   0:00.91 /System/Library/PrivateFrameworks/CommerceKit.frame
Josep             395   0,0  0,1  2505204   7768   ??  S    15sep15  11:10.88 /System/Library/PrivateFrameworks/CommerceKit.frame
Josep             394   0,0  0,0  2468920    844   ??  S    15sep15   0:00.13 /System/Library/PrivateFrameworks/CommerceKit.frame
root              392   0,0  0,0  2514368   1132   ??  Ss   15sep15   0:02.13 /System/Library/PrivateFrameworks/SoftwareUpdate.fr
_softwareupdate   391   0,0  0,1  4030104   7548   ??  Ss   15sep15   2:54.86 /System/Library/CoreServices/Software Update.app/Co
Josep             389   0,0  0,0  2469740    480   ??  S    15sep15   0:01.59 /System/Library/Frameworks/CoreServices.framework/F
root              388   0,0  0,0  2469216    412   ??  S    15sep15   0:00.05 /System/Library/Frameworks/CoreServices.framework/F
Josep             387   0,0  0,1  2497852   4972   ??  S    15sep15   0:07.38 /System/Library/PrivateFrameworks/CloudServices.fra
Josep             385   0,0  0,0  2534156   3196   ??  Ss   15sep15   0:00.85 /Applications/Google Drive.app/Contents/PlugIns/Fin
